Original HOUSE_TYPE,Encoded HOUSE_TYPE
TERRACED DUPLEX,4765325.870646766
BUNGALOW,778125.0
HOUSE,4399871.038848617
MASSIONETTE,8489189.18918919
detached duplex,9097759.103641456
detached duplex,9097759.103641456
apartment,4311077.215396283
detached duplex,9097759.103641456
MASSIONETTE,8489189.18918919
DETACHED DUPLEX,4160807.1275527286
apartment,4311077.215396283
HOUSE,4399871.038848617
terraced duplex,5928595.358474927
TERRACED DUPLEX,4765325.870646766
DETACHED DUPLEX,4160807.1275527286
MASSIONETTE,8489189.18918919
semi-detached bungalow,2610606.0606060605
TERRACED BUNGALOW,1716279.0697674418
TERRACED BUNGALOW,1716279.0697674418
HOUSE,4399871.038848617
TERRACED DUPLEX,4765325.870646766
terraced bungalow,1204800.0
detached bungalow,3781012.64556962
BUNGALOW,778125.0
semi-detached bungalow,2610606.0606060605
terraced bungalow,1204800.0
apartment,4311077.215396283
detached duplex,9097759.103641456
DETACHED DUPLEX,4160807.1275527286
terraced bungalow,1204800.0
apartment,4311077.215396283
semi-detached bungalow,2610606.0606060605
BUNGALOW,778125.0
APARTMENT,1052432.105576611
MASSIONETTE,8489189.18918919
APARTMENT,1052432.105576611
MASSIONETTE,8489189.18918919
TERRACED DUPLEX,4765325.870646766
HOUSE,4399871.038848617
terraced duplex,5928595.358474927
apartment,4311077.215396283
TERRACED BUNGALOW,1716279.0697674418
semi-detached bungalow,2610606.0606060605
terraced duplex,5928595.358474927
HOUSE,4399871.038848617
apartment,4311077.215396283
terraced duplex,5928595.358474927
detached bungalow,3781012.64556962
BUNGALOW,778125.0
TERRACED DUPLEX,4765325.870646766
semi-detached duplex,5968122.743682311
BUNGALOW,778125.0
HOUSE,4399871.038848617
TERRACED DUPLEX,4765325.870646766
BUNGALOW,778125.0
HOUSE,4399871.038848617
HOUSE,4399871.038848617
terraced bungalow,1204800.0
apartment,4311077.215396283
terraced bungalow,1204800.0
HOUSE,4399871.038848617
DETACHED DUPLEX,4160807.1275527286
DETACHED DUPLEX,4160807.1275527286
TERRACED BUNGALOW,1716279.0697674418
TERRACED BUNGALOW,1716279.0697674418
semi-detached duplex,5968122.743682311
DETACHED BUNGALOW,1896727.822629969
terraced duplex,5928595.358474927
TERRACED DUPLEX,4765325.870646766
apartment,4311077.215396283
TERRACED DUPLEX,4765325.870646766
DETACHED DUPLEX,4160807.1275527286
detached bungalow,3781012.64556962
detached bungalow,3781012.64556962
terraced bungalow,1204800.0
semi-detached duplex,5968122.743682311
APARTMENT,1052432.105576611
MASSIONETTE,8489189.18918919
apartment,4311077.215396283
detached bungalow,3781012.64556962
BUNGALOW,778125.0
MASSIONETTE,8489189.18918919
TERRACED DUPLEX,4765325.870646766
MASSIONETTE,8489189.18918919
terraced duplex,5928595.358474927
TERRACED BUNGALOW,1716279.0697674418
TERRACED BUNGALOW,1716279.0697674418
TERRACED BUNGALOW,1716279.0697674418
semi-detached bungalow,2610606.0606060605
BUNGALOW,778125.0
DETACHED BUNGALOW,1896727.822629969
terraced duplex,5928595.358474927
semi-detached duplex,5968122.743682311
semi-detached bungalow,2610606.0606060605
terraced duplex,5928595.358474927
DETACHED DUPLEX,4160807.1275527286
BUNGALOW,778125.0
APARTMENT,1052432.105576611
MASSIONETTE,8489189.18918919
semi-detached duplex,5968122.743682311
semi-detached duplex,5968122.743682311
HOUSE,4399871.038848617
HOUSE,4399871.038848617
APARTMENT,1052432.105576611
apartment,4311077.215396283
MASSIONETTE,8489189.18918919
