Year,BEDROOMS,TOILETS,HOUSE_TYPE,LOCATION,Predicted_Price
2025,1,1,semi-detached bungalow,Sangotedo,443190
2025,1,1,terraced bungalow,Ikeja,1110013
2025,1,1,terraced duplex,Idimu,294235
2025,2,3,TERRACED DUPLEX,Ago Palace-Okota,1588991
2025,2,3,DETACHED DUPLEX,Isolo,1817160
2025,2,3,apartment,Ikotun-Igando,3117626
2025,2,3,TERRACED DUPLEX,Ogba,124634
2025,2,2,MASSIONETTE,Lekki,29881
2025,2,3,MASSIONETTE,Apapa,312886
2025,2,3,BUNGALOW,Isolo,1812003
2025,2,3,semi-detached bungalow,Magodo,672523
2025,2,3,semi-detached bungalow,Ketu,951548
2025,2,3,DETACHED BUNGALOW,Apapa,187480
2025,2,3,TERRACED BUNGALOW,Alimosho,2427668
2025,2,3,MASSIONETTE,Amuwo Odofin,389450
2025,2,3,MASSIONETTE,Shomolu,2116142
2025,2,3,DETACHED DUPLEX,Shomolu,4370900
2025,2,3,detached bungalow,Ojota,5446499
2025,2,2,terraced bungalow,Surulere,1059819
2025,2,2,DETACHED BUNGALOW,Ago Palace-Okota,2097216
2025,2,3,MASSIONETTE,Ejigbo,653835
2025,3,3,terraced bungalow,Badagry,2124320
2025,3,4,semi-detached duplex,Ogudu,2740505
2025,3,3,terraced bungalow,Ogba,1687417
2025,3,5,TERRACED BUNGALOW,Magodo,1856042
2025,3,4,BUNGALOW,Ikotun-Igando,894426
2025,3,4,HOUSE,Gbagada,9055540
2025,3,3,TERRACED BUNGALOW,Shomolu,1203460
2025,3,4,semi-detached duplex,Ikoyi,19608024
2025,3,3,detached duplex,Sangotedo,793338
2025,3,4,TERRACED DUPLEX,Gbagada,93362
2025,3,4,terraced duplex,Maryland,2093258
2025,3,4,BUNGALOW,Akowonjo,1906244
2025,3,4,detached bungalow,Magodo,536470
2025,3,4,terraced bungalow,Isheri North,3946284
2025,3,3,MASSIONETTE,Ikotun-Igando,1449489
2025,3,4,semi-detached duplex,Maryland,434768
2025,3,4,semi-detached bungalow,Ejigbo,342032
2025,3,4,BUNGALOW,Ago Palace-Okota,9055540
2025,3,5,detached duplex,Alimosho,2732460
2025,3,4,BUNGALOW,Alimosho,2299980
2025,3,4,DETACHED BUNGALOW,Ayobo,1576270
2025,3,4,DETACHED BUNGALOW,Sangotedo,1568554
2025,3,3,detached bungalow,Lekki,337039
2025,3,3,semi-detached bungalow,Ojo,530807
2025,3,3,detached bungalow,Oshodi,1425336
2025,3,4,detached duplex,Ojota,1905556
2025,3,4,HOUSE,Alimosho,5635630
2025,3,4,APARTMENT,Ojodu,-1447724
2025,3,4,APARTMENT,Ejigbo,2067268
2025,4,5,terraced bungalow,Magodo,1568105
2025,4,5,TERRACED DUPLEX,Oshodi,3042983
2025,4,5,APARTMENT,Ajah,4166318
2025,4,5,terraced duplex,Ketu,2439241
2025,4,5,TERRACED BUNGALOW,Ogudu,1352249
